User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U33554,42,Male,Business Owner,Android,7.4,7.4,2,8.5,8,18,1,3.8
U9428,21,Other,Professional,iOS,1.4,2.4,3,4.3,2,6,6,7.6
U200,43,Male,Professional,iOS,8.4,1.0,8,8.6,4,26,4,7.9
U12448,45,Other,Freelancer,iOS,3.4,2.9,4,6.7,9,24,3,7.5
U39490,43,Female,Business Owner,iOS,4.7,6.6,3,8.6,2,35,4,4.4
U42725,49,Male,Freelancer,iOS,7.1,1.4,5,8.1,2,24,0,12.0
U10823,42,Male,Business Owner,iOS,4.2,2.2,4,6.2,7,11,2,10.3
U49499,42,Female,Professional,Android,2.5,5.3,5,6.8,7,8,6,4.9
U4145,37,Female,Professional,Android,1.5,0.7,5,5.9,9,49,0,5.3
U36959,38,Other,Business Owner,iOS,8.2,7.8,4,5.6,3,52,0,13.7
U43107,40,Female,Professional,Android,10.6,6.0,1,4.3,2,55,5,6.9
U38696,24,Male,Freelancer,Android,9.3,5.3,1,8.8,7,57,5,12.1
U6189,20,Other,Professional,Android,4.6,1.5,1,4.9,3,58,5,5.2
U1415,49,Male,Business Owner,iOS,1.8,1.4,2,4.1,7,10,3,5.2
U18472,49,Other,Professional,iOS,1.4,3.0,10,5.2,9,54,1,5.5
U29283,34,Female,Student,Android,6.5,5.8,2,6.9,7,57,1,2.3
U15178,38,Female,Freelancer,iOS,6.8,6.0,6,5.0,10,6,5,7.8
U34305,39,Female,Freelancer,iOS,7.5,2.8,4,5.2,6,24,3,8.9
U12610,30,Male,Freelancer,iOS,8.7,7.3,1,4.3,4,8,6,8.9
U12145,23,Male,Professional,Android,1.1,8.0,9,5.1,7,6,5,11.8
U6114,23,Female,Business Owner,iOS,7.7,5.2,8,7.2,6,54,0,9.2
